Rank,Company,Fit Score,Category Label,Country,Region,Remote,Funding Stage (approx),Company Size (approx),Website
1,Replicate,100,LLM Infra / Ops,USA,USA,Remote-first,Series B,51-200,https://replicate.com
2,Unstructured,100,LLM Infra / Ops,USA,Global-Remote,Remote-first,Series B,51-200,https://unstructured.io
3,Hugging Face,100,LLM Infra / Ops,USA,Global-Remote,Remote-first,Series D,201-500,https://huggingface.co
4,Helicone,100,LLM Infra / Ops,USA,USA,Remote-first,Seed,1-50,https://helicone.ai
5,Jina AI,100,LLM Infra / Ops,Germany,Germany,Remote-first,Series A,51-200,https://jina.ai
6,OpenPipe,100,LLM Infra / Ops,USA,USA,Remote-first,Seed,1-50,https://openpipe.ai
7,Weaviate,100,Vector DB / RAG,Netherlands,Netherlands,Remote-first,Series B,51-200,https://weaviate.io
8,LanceDB,100,Vector DB / RAG,USA,USA,Remote-first,Seed,1-50,https://lancedb.com
9,Marqo,100,Vector DB / RAG,Australia,Australia,Remote-first,Series A,1-50,https://marqo.ai
10,Chroma,100,Vector DB / RAG,USA,USA,Remote-first,Series A,1-50,https://trychroma.com
11,Qdrant,100,Vector DB / RAG,Germany,Germany,Remote-first,Series A,51-200,https://qdrant.tech
12,Turbopuffer,100,Vector DB / RAG,USA,USA,Remote-first,Seed,1-50,https://turbopuffer.com
13,RunPod,100,LLM Infra / Ops,USA,Global-Remote,Remote-first,Series A,51-200,https://runpod.io
14,Portkey,100,LLM Infra / Ops,India,Global-Remote,Remote-first,Seed,1-50,https://portkey.ai
15,Langfuse,100,LLM Infra / Ops,Germany,Germany,Remote-first,Seed,1-50,https://langfuse.com
54,Elicit,95,Search / RAG Product,USA,Global-Remote,Remote-first,Series A,1-50,https://elicit.com
55,Surge AI,95,Data / Labeling AI,USA,Global-Remote,Remote-first,Private,51-200,https://surgehq.ai
56,LiveKit,95,Voice / Multimodal AI,USA,USA,Remote-first,Series B,51-200,https://livekit.io
57,Deepgram,95,Voice / Multimodal AI,USA,USA,Remote-first,Series B,51-200,https://deepgram.com
58,ElevenLabs,95,Voice / Multimodal AI,UK,UK,Remote-first,Late-stage,201-500,https://elevenlabs.io
59,AssemblyAI,95,Voice / Multimodal AI,USA,USA,Remote-first,Series C,51-200,https://assemblyai.com
98,StackBlitz,90,Developer Tools,USA,Global-Remote,Remote-first,Series B,1-50,https://stackblitz.com
99,Oven (Bun),90,Developer Tools,USA,USA,Remote-first,Series A,1-50,https://bun.sh
100,Coder,90,Developer Tools,USA,USA,Remote-first,Series C,51-200,https://coder.com
101,Gitpod,90,Developer Tools,Germany,Global-Remote,Remote-first,Series A,51-200,https://gitpod.io
102,Zed Industries,90,Developer Tools,USA,Global-Remote,Remote-first,Series A,1-50,https://zed.dev
103,Warp,90,Developer Tools,USA,USA,Remote-first,Series B,51-200,https://warp.dev
104,Supabase,90,Developer Tools,USA,Global-Remote,Remote-first,Series C,51-200,https://supabase.com
105,Postman,90,Developer Tools,USA,India,Remote-first,Series D,1001-5000,https://postman.com
106,Hasura,90,Developer Tools,India,India,Remote-first,Series C,201-500,https://hasura.io
107,Prisma,90,Developer Tools,Germany,Germany,Remote-first,Series B,51-200,https://prisma.io
108,Deno,90,Developer Tools,USA,Global-Remote,Remote-first,Series A,1-50,https://deno.com
109,PlanetScale,90,Infrastructure,USA,USA,Remote-first,Series C,51-200,https://planetscale.com
110,Turso,90,Infrastructure,USA,Global-Remote,Remote-first,Series A,1-50,https://turso.tech
111,Neon,90,Infrastructure,USA,Global-Remote,Remote-first,Series B,51-200,https://neon.tech
112,Netlify,90,Developer Tools,USA,USA,Remote-first,Series D,201-500,https://netlify.com
113,Sourcegraph,90,Developer Tools,USA,USA,Remote-first,Series D,201-500,https://sourcegraph.com
114,GitHub,90,Developer Tools,USA,USA,Remote-first,Public (MSFT),1001-5000,https://github.com
115,Replit,90,Developer Tools,USA,USA,Remote-first,Series B,201-500,https://replit.com
116,MotherDuck,90,MLOps / Data Platform,USA,USA,Remote-first,Series B,51-200,https://motherduck.com
117,ClickHouse,90,MLOps / Data Platform,USA,Global-Remote,Remote-first,Series C,201-500,https://clickhouse.com
118,Astronomer,90,MLOps / Data Platform,USA,Global-Remote,Remote-first,Series C,201-500,https://astronomer.io
119,Prefect,90,MLOps / Data Platform,USA,USA,Remote-first,Series B,51-200,https://prefect.io
120,Airbyte,90,MLOps / Data Platform,USA,USA,Remote-first,Series B,201-500,https://airbyte.com
121,Dagster Labs,90,MLOps / Data Platform,USA,USA,Remote-first,Series B,51-200,https://dagster.io
122,Atlan,90,MLOps / Data Platform,India,Global-Remote,Remote-first,Series C,201-500,https://atlan.com
123,Materialize,90,MLOps / Data Platform,USA,USA,Remote-first,Series C,51-200,https://materialize.com
124,Pulumi,90,Infrastructure,USA,USA,Remote-first,Series C,51-200,https://pulumi.com
125,Tinybird,90,MLOps / Data Platform,Spain,Europe,Remote-first,Series A,51-200,https://tinybird.co
126,HashiCorp,90,Infrastructure,USA,USA,Remote-first,Public,1001-5000,https://hashicorp.com
127,Builder.io,90,AI SaaS,USA,Global-Remote,Remote-first,Series A,51-200,https://builder.io
128,Appwrite,90,Developer Tools,Israel,Global-Remote,Remote-first,Series B,51-200,https://appwrite.io
129,Elastic,90,Infrastructure,USA,Global-Remote,Remote-first,Public,1001-5000,https://elastic.co
130,Apollo.io,90,AI SaaS,USA,USA,Remote-first,Series D,501-1000,https://apollo.io
131,Anysphere (Cursor),90,Developer Tools,USA,USA,Remote-first,Late-stage,51-200,https://cursor.com
132,Windsurf (Codeium),90,Developer Tools,USA,USA,Remote-first,Series C,201-500,https://windsurf.com
133,Comet,90,MLOps / Data Platform,USA,USA,Remote-first,Series B,51-200,https://comet.com
134,Novu,90,Developer Tools,USA,Global-Remote,Remote-first,Series A,1-50,https://novu.co
135,Trigger.dev,90,Developer Tools,UK,Global-Remote,Remote-first,Series A,1-50,https://trigger.dev
136,Cal.com,90,Developer Tools,USA,Global-Remote,Remote-first,Series A,51-200,https://cal.com
137,Resend,90,Developer Tools,USA,Global-Remote,Remote-first,Series A,1-50,https://resend.com
138,Inngest,90,Developer Tools,USA,Global-Remote,Remote-first,Series A,1-50,https://inngest.com
139,Strapi,90,Developer Tools,France,Global-Remote,Remote-first,Series B,51-200,https://strapi.io
140,Spacelift,90,Infrastructure,USA,Global-Remote,Remote-first,Series B,51-200,https://spacelift.io
141,Loft Labs,90,Infrastructure,USA,USA,Remote-first,Series A,1-50,https://loft.sh
142,Jasper,90,AI SaaS,USA,USA,Remote-first,Series A,201-500,https://jasper.ai
143,Roboflow,90,AI SaaS,USA,USA,Remote-first,Series B,51-200,https://roboflow.com
144,dbt Labs,90,MLOps / Data Platform,USA,USA,Remote-first,Series D,501-1000,https://getdbt.com
145,Hygraph,90,Developer Tools,Germany,Global-Remote,Remote-first,Series B,51-200,https://hygraph.com
146,Medusa,90,Developer Tools,Denmark,Global-Remote,Remote-first,Series A,1-50,https://medusajs.com
147,GitLab,90,Developer Tools,USA,Global-Remote,Remote-first,Public,1001-5000,https://gitlab.com
148,Shopify,87,Public Tech,Canada,Canada,Remote-first,Public,5000+,https://shopify.com
149,Spotify,87,Public Tech,Sweden,Sweden,Remote-first,Public,5000+,https://spotify.com
150,Airbnb,87,Public Tech,USA,USA,Remote-first,Public,5000+,https://airbnb.com
264,MagicSchool AI,85,AI Edtech,USA,Global-Remote,Remote-first,Series B,51-200,https://magicschool.ai
265,Zapier,85,Automation,USA,Global-Remote,Remote-first,Profitable,501-1000,https://zapier.com
266,n8n,85,Automation,Germany,Germany,Remote-first,Series B,51-200,https://n8n.io
267,Pipedream,85,Automation,USA,USA,Remote-first,Series A,1-50,https://pipedream.com
268,Workato,85,Automation,USA,USA,Remote-first,Series E+,1001-5000,https://workato.com
271,Northflank,81,Cloud,UK,UK,Remote-first,Series A,1-50,https://northflank.com
275,Qovery,81,Cloud,France,France,Remote-first,Seed,1-50,https://qovery.com
276,Railway,81,Cloud,USA,USA,Remote-first,Series B,1-50,https://railway.com
278,Fly.io,81,Cloud,USA,Global-Remote,Remote-first,Series C,51-200,https://fly.io
280,DigitalOcean,81,Cloud,USA,Global-Remote,Remote-first,Public,1001-5000,https://digitalocean.com
314,Grafana Labs,76,Observability,USA,Global-Remote,Remote-first,Series D,1001-5000,https://grafana.com
315,Honeycomb,76,Observability,USA,Global-Remote,Remote-first,Series D,201-500,https://honeycomb.io
316,Cribl,76,Observability,USA,USA,Remote-first,Series E+,501-1000,https://cribl.io
317,Better Stack,76,Observability,Czechia,Europe,Remote-first,Series A,51-200,https://betterstack.com
318,SigNoz,76,Observability,India,Global-Remote,Remote-first,Series A,1-50,https://signoz.io
319,1Password,76,Cybersecurity,Canada,Canada,Remote-first,Series C,1001-5000,https://1password.com
320,Chainguard,76,Cybersecurity,USA,Global-Remote,Remote-first,Series C,201-500,https://chainguard.dev
321,Socket,76,Cybersecurity,USA,USA,Remote-first,Series B,51-200,https://socket.dev
322,Semgrep,76,Cybersecurity,USA,USA,Remote-first,Series D,201-500,https://semgrep.dev
323,Tailscale,76,Cybersecurity,Canada,Global-Remote,Remote-first,Series B,51-200,https://tailscale.com
344,Linear,71,SaaS / Product,USA,Global-Remote,Remote-first,Series B,51-200,https://linear.app
345,Atlassian,71,SaaS / Product,Australia,Australia,Remote-first,Public,5000+,https://atlassian.com
346,Webflow,71,SaaS / Product,USA,USA,Remote-first,Series C,1001-5000,https://webflow.com
347,Close,71,SaaS / Product,USA,Global-Remote,Remote-first,Profitable,51-200,https://close.com
348,Storyblok,71,SaaS / Product,Austria,Europe,Remote-first,Series C,201-500,https://storyblok.com
349,Sanity,71,SaaS / Product,Norway,Norway,Remote-first,Series C,201-500,https://sanity.io
350,Twilio,71,SaaS / Product,USA,USA,Remote-first,Public,5000+,https://twilio.com
351,Deel,71,Fintech,USA,Global-Remote,Remote-first,Late-stage,5000+,https://deel.com
352,Automattic,71,SaaS / Product,USA,Global-Remote,Remote-first,Private,1001-5000,https://automattic.com
353,Remote.com,71,SaaS / Product,USA,Global-Remote,Remote-first,Series C,1001-5000,https://remote.com
354,Brilliant,68,Edtech,USA,Global-Remote,Remote-first,Series B,51-200,https://brilliant.org
368,Turing,67,IT Services,USA,India,Remote-first,Series D,1001-5000,https://turing.com
380,Andela,67,IT Services,USA,Global-Remote,Remote-first,Series E+,1001-5000,https://andela.com
383,Toptal,67,IT Services,USA,Global-Remote,Remote-first,Profitable,501-1000,https://toptal.com
